Bal,Brick,Dist,Floor,Kitsp,Livsp,Metrdist,N,New,Nfloors,Price,Rooms,Tel,Totsp,Walk,district
0,0,17583.0536953293,7,6.0,21.0,10.0,0,0,9,5300000,1,1,35.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17321.14173009219,8,1.0,34.0,7.0,1,0,17,10300000,2,1,60.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18222.886658181073,12,7.0,45.0,10.0,2,0,12,8804254,3,1,66.0,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,6,0.0,18.0,7.0,3,1,12,3660800,1,1,28.6,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,6,0.0,15.0,10.0,4,1,19,3660800,1,1,28.6,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,2,1.0,20.0,7.0,5,1,8,4320000,1,1,36.0,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,7,1.0,20.0,7.0,6,1,8,4575000,1,1,36.6,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,2,1.0,20.0,7.0,7,1,12,4588000,1,1,37.0,1,Orekhovo-Borisovo Yuzhnoye
0,0,18361.331118902075,2,9.0,21.0,15.0,8,0,12,4799000,1,1,33.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18339.34580864216,7,6.0,22.0,14.0,9,0,9,4900000,1,1,37.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18339.34580864216,4,6.0,21.0,12.0,10,0,12,4900000,1,1,34.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18503.755441547524,5,7.0,18.0,20.0,11,0,9,5000000,1,1,35.0,1,Orekhovo-Borisovo Yuzhnoye
0,0,18349.00938390612,3,6.0,19.0,10.0,12,0,9,5100000,1,1,33.0,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,14,1.0,20.0,7.0,13,1,14,5175000,1,1,37.5,1,Orekhovo-Borisovo Yuzhnoye
1,0,18016.28543306593,5,6.0,20.0,15.0,14,0,9,5200000,1,1,35.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17687.05387268861,5,6.0,21.0,10.0,15,0,9,5250000,1,1,35.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18314.731198294932,2,8.0,19.0,11.0,16,0,17,5300000,1,1,38.0,0,Orekhovo-Borisovo Yuzhnoye
1,0,17583.0536953293,7,7.0,20.8,10.0,17,0,9,5300000,1,1,34.3,1,Orekhovo-Borisovo Yuzhnoye
1,0,18273.16868658891,7,8.0,19.2,11.0,18,0,17,5300000,1,1,38.1,1,Orekhovo-Borisovo Yuzhnoye
1,0,18537.985679531503,14,9.0,28.7,10.0,19,0,16,5350000,1,0,39.0,1,Orekhovo-Borisovo Yuzhnoye
0,0,17829.269443851517,7,7.0,19.0,9.0,20,0,9,5380000,1,1,33.0,1,Orekhovo-Borisovo Yuzhnoye
0,0,17321.14173009219,1,8.0,20.0,3.0,21,0,17,5450000,1,1,37.0,1,Orekhovo-Borisovo Yuzhnoye
0,0,18279.878974684423,3,8.0,19.0,15.0,22,0,12,5500000,1,1,35.1,1,Orekhovo-Borisovo Yuzhnoye
0,1,18324.89228448692,13,1.0,16.0,7.0,23,1,19,5679360,1,1,38.4,1,Orekhovo-Borisovo Yuzhnoye
1,0,18085.83074781832,17,9.0,19.0,15.0,24,0,17,5690000,1,1,39.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18395.319538245232,14,8.0,20.0,10.0,25,0,17,5700000,1,1,39.0,1,Orekhovo-Borisovo Yuzhnoye
0,0,17084.694504593084,9,7.0,18.5,2.0,26,0,9,5800000,1,0,32.3,1,Orekhovo-Borisovo Yuzhnoye
0,1,18324.89228448692,12,1.0,16.0,7.0,27,1,13,5863050,1,1,38.7,1,Orekhovo-Borisovo Yuzhnoye
1,0,18349.00938390612,4,0.0,36.0,15.0,28,0,9,9250000,3,1,58.1,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,2,1.0,35.0,7.0,29,1,12,6555600,2,1,60.7,1,Orekhovo-Borisovo Yuzhnoye
1,0,17321.14173009219,8,1.0,34.0,7.0,30,0,17,10300000,2,1,60.0,1,Orekhovo-Borisovo Yuzhnoye
0,1,18324.89228448692,18,1.0,16.0,7.0,31,1,19,5878290,1,1,37.9,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,11,1.0,18.0,7.0,32,1,11,5878200,1,1,38.8,1,Orekhovo-Borisovo Yuzhnoye
0,1,18324.89228448692,13,1.0,16.0,7.0,33,1,19,6002100,1,1,35.1,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,10,1.0,18.0,7.0,34,1,12,6291480,1,1,43.6,1,Orekhovo-Borisovo Yuzhnoye
0,0,17849.894169214964,5,6.0,31.0,16.0,35,0,9,6300000,2,1,44.3,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,12,1.0,18.0,7.0,36,1,12,6399180,1,1,43.8,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,12,1.0,18.0,7.0,37,1,16,6464640,1,1,44.8,1,Orekhovo-Borisovo Yuzhnoye
1,0,18680.912910828414,2,9.0,34.0,20.0,38,0,16,6500000,2,0,53.5,1,Orekhovo-Borisovo Yuzhnoye
1,0,18373.577847139088,2,8.0,30.6,12.0,39,0,17,6750000,2,1,51.8,1,Orekhovo-Borisovo Yuzhnoye
1,0,17272.208146419936,1,7.0,31.0,6.0,40,0,9,6750000,2,1,45.0,0,Orekhovo-Borisovo Yuzhnoye
1,0,17191.559959917886,17,1.0,20.1,9.0,41,0,22,6800000,1,1,40.0,0,Orekhovo-Borisovo Yuzhnoye
0,0,17120.658502215825,2,6.0,36.0,10.0,42,0,9,6900000,3,1,53.1,1,Orekhovo-Borisovo Yuzhnoye
1,0,17221.443586559893,14,1.0,19.3,13.0,43,0,16,6950000,1,1,34.7,1,Orekhovo-Borisovo Yuzhnoye
1,0,18203.523578481185,4,8.0,31.5,9.0,44,0,17,6990000,2,1,51.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17791.50320726851,9,6.0,29.5,7.0,45,0,9,7100000,2,1,45.5,1,Orekhovo-Borisovo Yuzhnoye
1,0,18441.36939417144,12,7.0,33.0,21.0,46,0,12,7200000,2,1,50.1,1,Orekhovo-Borisovo Yuzhnoye
1,0,17292.99369725434,4,6.0,29.0,10.0,47,0,9,7300000,2,1,45.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17873.50487043106,12,9.0,32.0,4.0,48,0,17,7400000,2,1,54.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18462.81234997508,9,7.0,38.6,19.0,49,0,9,7500000,3,1,59.8,1,Orekhovo-Borisovo Yuzhnoye
1,0,18058.763117711245,8,1.0,48.0,16.0,50,0,12,7600000,3,0,64.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17272.208146419936,3,6.0,33.4,3.0,51,0,9,7600000,3,1,50.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17833.200175504204,1,7.0,40.0,12.0,52,0,9,7700000,3,1,60.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,17857.590639608952,15,9.0,32.4,4.0,53,0,17,7890000,2,1,54.0,1,Orekhovo-Borisovo Yuzhnoye
1,0,18314.731198294932,17,8.0,30.7,11.0,54,0,17,7900000,2,1,51.8,1,Orekhovo-Borisovo Yuzhnoye
1,1,18324.89228448692,4,1.0,34.0,7.0,55,1,10,8020530,2,1,60.9,1,Orekhovo-Borisovo Yuzhnoye
